conflict_no,incident_no,start_date,end_date,province,district,llg,ward,village_community,x_lon,y_lat,source,conflict_name,people_groups_involved,status,root_cause,proximate_cause,trigger,incident_description,response_from_authorities,retaliation_related_incident,total_dead,total_injured,total_displaced,men_dead,men_injured,men_displaced,women_dead,women_injured,women_displaced,total_child_dead,total_child_injured,boy_dead,boy_injured,boy_displaced,girl_dead,girl_injured,girl_displaced,id,adm1_pcode,adm2_pcode,adm3_pcode,total_casualties,ignore,actor_simple
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Tungube,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,PG21,PG2108,PG210829,7,actor2,Tipa
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Tungube, Homa",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,PG21,PG2108,PG210829,0,actor1,Linapini
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Tungube, Homa",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,PG21,PG2108,PG210829,0,actor2,Tipa
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Homa, Linabini",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Homa, Linabini",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,PG21,PG2108,PG210829,1,actor2,Tipa
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2018-09-01,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,PG21,PG2108,PG210829,1,actor2,Tipa
46,NA,2022-03-04,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2022-03-04,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,PG21,PG2108,PG210829,1,actor2,Tipa
46,NA,2022-03-14,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,PG21,PG2108,PG210829,27,actor1,Linapini
46,NA,2022-03-14,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,PG21,PG2108,PG210829,27,actor2,Tipa
46,NA,2022-03-15,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2022-03-15,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,PG21,PG2108,PG210829,1,actor2,Tipa
46,NA,2022-03-29,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kupari,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2022-03-29,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kupari,Linabini,142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,PG21,PG2108,PG210829,1,actor2,Tipa
46,NA,2022-03-29,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Linabini, Tipaya Ikini",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,PG21,PG2108,PG210829,1,actor1,Linapini
46,NA,2022-03-29,NA,Hela Province,Tari Pori District,Tari Urban LLG,Kikita 1,"Linabini, Tipaya Ikini",142.9557,-5.83458,UN Agencies,Linabini- Tipi Conflict,"Linabini, Tipa",Active,NA,NA,NA,Land and/or resource royalty payments,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,PG21,PG2108,PG210829,1,actor2,Tipa
47,NA,2021-07-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,NA,142.9557,-5.83458,UN Agencies,Tigibi Conflict,Toma and. Hatani,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,PG21,PG2104,PG210411,4,actor1,Toma
47,NA,2021-07-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,NA,142.9557,-5.83458,UN Agencies,Tigibi Conflict,Toma and. Hatani,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,PG21,PG2104,PG210411,4,actor2,Hatani
47,NA,2020-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,UN Agencies,Tigibi Conflict,Toma and. Hatani,Ceasefire,NA,NA,NA,Compensation payment related,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,PG21,PG2104,PG210411,1,actor1,Toma
47,NA,2020-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,UN Agencies,Tigibi Conflict,Toma and. Hatani,Ceasefire,NA,NA,NA,Compensation payment related,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,PG21,PG2104,PG210411,1,actor2,Hatani
47,NA,2014-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,UN Agencies,Tigibi Conflict,Toma and. Hatani,Ceasefire,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,PG21,PG2104,PG210411,0,actor1,Toma
47,NA,2014-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,UN Agencies,Tigibi Conflict,Toma and. Hatani,Ceasefire,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,PG21,PG2104,PG210411,0,actor2,Hatani
48,NA,2018-10-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,Hapono,"Pai Tulia, Pai Tubu",142.8202,-5.93874,UN Agencies,Pai Conflict,Pai Tomo and Pai Tulia,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,PG21,PG2108,PG210827,0,actor1,Pai
48,NA,2018-10-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,Hapono,"Pai Tulia, Pai Tubu",142.8202,-5.93874,UN Agencies,Pai Conflict,Pai Tomo and Pai Tulia,Ceasefire,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,PG21,PG2108,PG210827,0,actor2,Pai
48,NA,2018-02-18,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,Hapono,"Pai Tulia, Pai Tubu",142.8202,-5.93874,UN Agencies,Pai Conflict,Pai Tomo and Pai Tulia,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,PG21,PG2108,PG210827,0,actor1,Pai
48,NA,2018-02-18,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,Hapono,"Pai Tulia, Pai Tubu",142.8202,-5.93874,UN Agencies,Pai Conflict,Pai Tomo and Pai Tulia,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,PG21,PG2108,PG210827,0,actor2,Pai
49,NA,NA,NA,Hela Province,Koroba Kopiago District,Awi Pori Rural LLG,NA,NA,NA,NA,UN Agencies,Pujaro Conflict,Pujaro Wau and Pujaro Miape,Ceasefire,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,PG21,PG2105,PG210514,35,actor1,Pujaro
49,NA,NA,NA,Hela Province,Koroba Kopiago District,Awi Pori Rural LLG,NA,NA,NA,NA,UN Agencies,Pujaro Conflict,Pujaro Wau and Pujaro Miape,Ceasefire,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,PG21,PG2105,PG210514,35,actor2,Pujaro
50,NA,2018-01-01,NA,Hela Province,Koroba Kopiago District,Awi Pori Rural LLG,NA,NA,142.7287,-5.58202,UN Agencies,Hungi Conflict,"Hebonali, Pujaro",Ceasefire,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,PG21,PG2105,PG210514,52,actor1,Hebonali
50,NA,2018-01-01,NA,Hela Province,Koroba Kopiago District,Awi Pori Rural LLG,NA,NA,142.7287,-5.58202,UN Agencies,Hungi Conflict,"Hebonali, Pujaro",Ceasefire,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,PG21,PG2105,PG210514,52,actor2,Pujaro
51,NA,2020-04-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 1,"Koma, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,Koma and Pari,Ceasefire,NA,NA,NA,Land tresspassing,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,PG21,PG2105,PG210516,7,actor1,Koma
51,NA,2020-04-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 1,"Koma, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,Koma and Pari,Ceasefire,NA,NA,NA,Land tresspassing,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,PG21,PG2105,PG210516,7,actor2,Pari
51,NA,2020-08-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,Koma Awi supporting Aguipa and. Pari supporting Nalipa None,Paused,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,PG21,PG2105,PG210516,38,actor1,Koma
51,NA,2020-08-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,Koma Awi supporting Aguipa and. Pari supporting Nalipa None,Paused,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,PG21,PG2105,PG210516,38,actor2,Nalipa
51,NA,2023-02-18,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,"Koma, Awi, Pari, Aguiba, Nalipa None",Active,NA,NA,NA,Land tresspassing,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,PG21,PG2105,PG210516,8,actor1,Koma
51,NA,2023-02-18,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,"Koma, Awi, Pari, Aguiba, Nalipa None",Active,NA,NA,NA,Land tresspassing,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,PG21,PG2105,PG210516,8,actor2,Awi Tribes
51,NA,2023-02-18,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,"Koma, Awi, Pari, Aguiba, Nalipa None",Active,NA,NA,NA,Land tresspassing,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,PG21,PG2105,PG210516,8,actor3,Pari
51,NA,2023-02-18,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,"Koma, Awi, Pari, Aguiba, Nalipa None",Active,NA,NA,NA,Land tresspassing,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,PG21,PG2105,PG210516,8,actor4,Aguiba
51,NA,2023-02-18,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,Huyanoma 2,"Koma/Awi, Nalipa None, Aguipa, Pari",142.699,-5.71483,UN Agencies,Fugwa Conflict,"Koma, Awi, Pari, Aguiba, Nalipa None",Active,NA,NA,NA,Land tresspassing,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,PG21,PG2105,PG210516,8,actor5,Nalipa
52,NA,2020-01-01,NA,Hela Province,Tari Pori District,Tebi Rural LLG,Hewate 1,NA,142.9725,-5.83279,UN Agencies,Toanda Naia Conflict,Simo Kuku and. Yaka Maleya,Active,NA,NA,NA,Alcohol abuse related,NA,NA,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,PG21,PG2108,PG210830,0,actor1,Simo Kuku
52,NA,2020-01-01,NA,Hela Province,Tari Pori District,Tebi Rural LLG,Hewate 1,NA,142.9725,-5.83279,UN Agencies,Toanda Naia Conflict,Simo Kuku and. Yaka Maleya,Active,NA,NA,NA,Alcohol abuse related,NA,NA,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,PG21,PG2108,PG210830,0,actor2,Yaka Maleya
53,NA,2019-01-01,NA,Hela Province,Tari Pori District,Tebi Rural LLG,Hewate 1,NA,142.9709,-5.83148,UN Agencies,Toanda Parare- Toanda Ekara Conflict,"Toanda Parere, Toanda Ekara",Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,PG21,PG2108,PG210830,0,actor1,Toanda Parere
53,NA,2019-01-01,NA,Hela Province,Tari Pori District,Tebi Rural LLG,Hewate 1,NA,142.9709,-5.83148,UN Agencies,Toanda Parare- Toanda Ekara Conflict,"Toanda Parere, Toanda Ekara",Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,PG21,PG2108,PG210830,0,actor2,Toanda Ekara
54,NA,NA,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Kela,Angore Villages,143.0379,-5.89313,UN Agencies,Tubali- Parapo Conflict,"Tubali, Parapo",Dormant,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,PG21,PG2104,PG210411,1,actor1,Tubali
54,NA,NA,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Kela,Angore Villages,143.0379,-5.89313,UN Agencies,Tubali- Parapo Conflict,"Tubali, Parapo",Dormant,NA,NA,NA,"Domestic, marital, extra marital issue",NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,PG21,PG2104,PG210411,1,actor2,Parapo
55,NA,2005-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8722,-5.97349,Private Sector,Halapura- Polopu,Halapura and Polopu,Dormant,NA, , ,Land ownership and boundary dispute, , ,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,PG21,PG2108,PG210827,9,actor1,Halapura
55,NA,2005-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8722,-5.97349,Private Sector,Halapura- Polopu,Halapura and Polopu,Dormant,NA, , ,Land ownership and boundary dispute, , ,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,PG21,PG2108,PG210827,9,actor2,Polopu
56,NA,2007-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8522,-5.88952,Private Sector,Pi- Topani,Pi and Topani,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,PG21,PG2108,PG210827,4,actor1,Pi
56,NA,2007-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8522,-5.88952,Private Sector,Pi- Topani,Pi and Topani,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,PG21,PG2108,PG210827,4,actor2,Topani
57,NA,2008-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8737,-5.93578,Private Sector,Teni- Yangali,Teni and Yangali,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,PG21,PG2108,PG210827,5,actor1,Teni
57,NA,2008-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Angore Villages,142.8737,-5.93578,Private Sector,Teni- Yangali,Teni and Yangali,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,PG21,PG2108,PG210827,5,actor2,Yangali
58,NA,2009-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Komo Villages,142.8545,-5.92786,Private Sector,Pai- Tuleni,Pai and Tuleni,Dormant,NA, , ,"Domestic, marital, extra marital issue",NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,PG21,PG2108,PG210827,7,actor1,Pai
58,NA,2009-01-01,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG, ,Komo Villages,142.8545,-5.92786,Private Sector,Pai- Tuleni,Pai and Tuleni,Dormant,NA, , ,"Domestic, marital, extra marital issue",NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,PG21,PG2108,PG210827,7,actor2,Tuleni
59,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,"Kapote, Para, Tokayu Villages",143.0355,-6.06218,Private Sector,Tobe Tiana- Maya- Taburuma Urapi,Tobe Tiana and Maya/Taburuma Urapi,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,PG21,PG2104,PG210412,5,actor1,Tobe
59,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,"Kapote, Para, Tokayu Villages",143.0355,-6.06218,Private Sector,Tobe Tiana- Maya- Taburuma Urapi,Tobe Tiana and Maya/Taburuma Urapi,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,PG21,PG2104,PG210412,5,actor2,Maya
59,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,"Kapote, Para, Tokayu Villages",143.0355,-6.06218,Private Sector,Tobe Tiana- Maya- Taburuma Urapi,Tobe Tiana and Maya/Taburuma Urapi,Dormant,NA, , ,Land ownership and boundary dispute,NA, ,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,PG21,PG2104,PG210412,5,actor3,Taburuma Urapi
60,NA,2015-12-24,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Tari Township,142.794,-6.01592,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused,NA, , ,Random killing,NA, ,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,PG21,PG2104,PG210412,2,actor1,Taguali
60,NA,2015-12-24,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Tari Township,142.794,-6.01592,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused,NA, , ,Random killing,NA, ,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,PG21,PG2104,PG210412,2,actor2,Kayumba
60,NA,2015-12-24,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Tari Township,142.794,-6.01592,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused,NA, , ,Random killing,NA, ,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,PG21,PG2104,PG210412,2,actor3,Pepe
60,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Kope and a,142.7928,-5.95253,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused, , , ,Random killing,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,PG21,PG2104,PG210412,3,actor1,Taguali
60,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Kope and a,142.7928,-5.95253,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused, , , ,Random killing,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,PG21,PG2104,PG210412,3,actor2,Kayumba
60,NA,2015-01-01,NA,Hela Province,Komo Magarima District,Komo Rural LLG, ,Kope and a,142.7928,-5.95253,Private Sector,Taguali- Kayumba-  Pepe,Taguali and Kayumba - Pepe,Paused, , , ,Random killing,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,PG21,PG2104,PG210412,3,actor3,Pepe
61,NA,2014-11-01,NA,Hela Province,Tari Pori District,Tari Urban LLG, ,Benaria,142.954,-5.8466,Private Sector,Kikita- Kobaria,Kikita and Kobaria,Dormant, , , ,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,PG21,PG2108,PG210829,1,actor1,Kitita Tribes
61,NA,2014-11-01,NA,Hela Province,Tari Pori District,Tari Urban LLG, ,Benaria,142.954,-5.8466,Private Sector,Kikita- Kobaria,Kikita and Kobaria,Dormant, , , ,Land and/or resource royalty payments,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,PG21,PG2108,PG210829,1,actor2,Kobaria
62,NA,2014-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG, ,"Homa, Benaria
(Awatangi/Hulia)",143.0357,-6.05824,Private Sector,Karabaiya Minai-  Murderer,Karabaiya Minai - Murderer,Paused,NA, , ,Random killing,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,PG21,PG2104,PG210411,24,actor1,Karabaiya Minai
